	sum 	deprecate?	flag for upgrade?	comments
Java/1.8.0_121	12328			
Java/1.8.0_144	1844			
Java/1.8.0_212	17835			
Java/1.8.0_92	17360			
Jellyfish/2.2.10-foss-2016b	6			
Jellyfish/2.2.10-foss-2018b	21			
Julia/0.6.4-linux-x86_64	0			
Julia/0.7.0-linux-x86_64	0			
Julia/1.0.0-linux-x86_64	0			
Kent_tools/20181221-linux.x86_64	28			
LAPACK/3.7.1-foss-2016b	0			
LLVM/3.8.0-foss-2016a	1			
LLVM/3.8.1-foss-2016b	12948			
LLVM/5.0.0-foss-2016b	0			
LLVM/6.0.0-GCCcore-7.3.0	9756			
Langs/GCC/4.9.3	1			
Langs/GCC/5.2.0	3910			
Langs/Java/1.7.0_45	57306			
Langs/Java/1.8.0_45	56413			
Langs/Perl/5.8.9_fPIC	1			
Langs/Python/2.7.11_libs	62092			
Langs/TCLTK/8.5.18	42026			
LibTIFF/4.0.6-foss-2016a	172			
LibTIFF/4.0.6-foss-2016b	13479			
LibTIFF/4.0.9-GCCcore-7.3.0	9767			
Libs/GCC/4.9.3	15			
Libs/GCC/5.2.0	42027			
LittleCMS/2.9-GCCcore-7.3.0	9748			
M4/1.4.17	2			
M4/1.4.17-GCC-5.4.0-2.26	0			
M4/1.4.17-GCCcore-4.9.3	0			
M4/1.4.17-GCCcore-5.4.0	0			
M4/1.4.17-foss-2016a	0			
M4/1.4.17-foss-2016b	0			
M4/1.4.18	2			
M4/1.4.18-GCCcore-6.3.0	0			
M4/1.4.18-GCCcore-6.4.0	2			
M4/1.4.18-GCCcore-7.3.0	7			
MACS2/2.1.1.20160309-foss-2016b-Python-2.7.13	860			
MATLAB/2017a	2			
MATLAB/2017b	1			
MATLAB/2019b	190			
MEME/4.11.4-foss-2016b	208			
METIS/5.1.0-foss-2018b	87			
MIGRATE-N/4.2.14-foss-2016b	0			
MIGRATE-N/4.2.8-foss-2016a	0			
MISO/0.5.4-foss-2016b	551			
MPFR/4.0.1-GCCcore-7.3.0	486			
MUSCLE/3.8.31-foss-2016a	0			
MUSCLE/3.8.31-foss-2016b	0			
Mako/1.0.4-foss-2016b-Python-2.7.12	0			
Mako/1.0.7-foss-2018b-Python-2.7.15	1			
Maq/0.7.0	0			
MariaDB/10.1.14-foss-2016a	12			
MariaDB/10.3.10-foss-2018b	385			
Mathematica/11.0.1	1			
Mathematica/11.1.1	0			
Maven/3.3.9	4			
Mesa/11.2.1-foss-2016a	1			
Mesa/12.0.2-foss-2016b	12952			
Mesa/18.1.1-foss-2018b	9758			
MiXCR/2.1.5-Java-1.8.0_121	19			
MosaicHunter/December2017-Java-1.8	0			
MultiQC/1.9-foss-2018b-Python-3.7.0	4			
Multiz-TBA/012109-foss-2016b	0			
MySQL/5.7.21-GCCcore-6.4.0-clientonly	1			
NAMD/2.12-multicore	0			
NASM/2.11.08-foss-2016b	21			
NASM/2.12.02-foss-2016a	172			
NASM/2.12.02-foss-2016b	13605			
NASM/2.13.03-GCCcore-7.3.0	9801			
NGS/1.2.5-foss-2016b	6136			
