	sum 	toolchain	unused	deprecate?	flag for upgrade, then deprecate?	flag for upgrade only	hide only	comments
Gaussian/16-A.03_SSE4	3144	system						
Gaussian/16-B.01_AVX	1649	system						
Gaussian/16-C.01_AVX	14415	system						
Gctf/1.18_b2-fosscuda-2018b_sm37_cu9.2	0	2018b	Y	Y				
Gdk-Pixbuf/2.36.11-foss-2018a	38997	2018a						
Gdk-Pixbuf/2.36.12-foss-2018b	0	2018b	Y					
Geant4/10.5-foss-2018a	796	2018a						
Ghostscript/9.22-GCCcore-6.4.0-cairo-1.14.12	627	2018a						
Ghostscript/9.23-GCCcore-6.4.0	712	2018a						
Ghostscript/9.23-GCCcore-7.3.0	947	2018b						
Globus-CLI/1.11.0-foss-2016b	8	2016b	Y	Y				
Globus-CLI/1.2.3	1	system	Y		Y			
Grace/5.1.25-foss-2018a-5build1	183	2018a						
GraphicsMagick/1.3.28-foss-2018a	626	2018a						
Guile/1.8.8-GCCcore-6.4.0	0	2018a	Y	Y				
Guile/1.8.8-GCCcore-7.3.0	338	2018b						
Guile/2.2.2-GCCcore-6.4.0	73873	2018a						
Gurobi/7.5.1	143	system						
Gurobi/9.0.1	715	system						
HDF5/1.10.1-GCCcore-6.4.0-serial	73940	2018a		Y?				who is using this?
HDF5/1.10.1-foss-2016b-serial	72	2016b		Y				
HDF5/1.10.1-foss-2018a	130350	2018a		Y?				who is using this?
HDF5/1.10.1-iomkl-2018a	37212	2018a		Y?				who is using this?
HDF5/1.10.2-GCCcore-8.2.0	4	system	Y	Y				
HDF5/1.10.2-foss-2018b	4812	2018b						
HDF5/1.10.2-intel-2018b	198	2018b						
HDF5/1.10.2-iomkl-2018b	507	2018b						
HDF5/1.8.12-foss-2016b	1	2016b	Y	Y				
HDF5/1.8.18-foss-2016b	11	2016b		Y				
HEAsoft/6.26.1-GCCcore-6.4.0	0	2018a	Y	Y				
HOOMD-blue/2.6.0-foss-2018a-CUDA-10.0.130	1	2018a	Y	Y				
HarfBuzz/1.4.3-foss-2016b	12	2016b		Y				
HarfBuzz/1.7.5-foss-2018a	39718	2018a			Y?			who is using this?
Harminv/1.4.1-foss-2018a	73824	2018a			Y?			who is using this?
HydroGeoSphere/2018.11	0	system	Y	Y				
HydroGeoSphere/2019.03	5	system	Y	Y				
HydroGeoSphere/2019.10	0	system	Y		Y			
Hypre/2.15.1-foss-2018b	3389	2018b						
ICU/61.1-GCCcore-7.3.0	947	2018b						
IDL/8.0	0	system	Y	Y				
IGV/2.5.0-Java-1.8.0_92	30	system						
IMSAM/2013-iomkl-2018a	4	2018a	Y		Y			
IQ-TREE/1.6.12	196	system						
ImageMagick/7.0.7-30-GCCcore-6.4.0	727	2018a			Y?			who is using this?
ImageMagick/7.0.8-11-GCCcore-7.3.0	947	2018b						
Inspector/2019_update5	2	system	Y	Y				
JAGS/4.2.0-foss-2016b	12	2016b		Y				
JAGS/4.3.0-foss-2018a	0	2018a	Y	Y	Y			
JANPA/2.0.2	64	system						
JUnit/4.12-Java-1.8.0_92	0	system	Y	Y?				
JasPer/2.0.14-GCCcore-6.4.0	55896	2018a		Y?				who is using this?
JasPer/2.0.14-GCCcore-7.3.0	997	2018b						
Java/1.8.0_212	1285	system						
Java/1.8.0_92	8180	system						
Java/1.9.0.4	209	system						
Julia/1.0.0-linux-x86_64	567	system						
Julia/1.2.0-linux-x86_64	304	system						
Julia/1.3.1-linux-x86_64	169	system						
Julia/1.4.2-linux-x86_64	78	system						
Knitro/10.1.2	475	system						
Knitro/10.3.0	97	system						
Knitro/12.0.0	342	system						
LAME/3.100-GCCcore-6.4.0	39800	2018a			Y?			who is using this?
LAMMPS/patch_18Sep2018-foss-2018a	149	2018a			Y?			
LLVM/3.8.1-foss-2016b	12	2016b		Y				
LLVM/5.0.1-GCCcore-6.4.0	41702	2018a		Y?				who is using this?
LLVM/6.0.0-GCCcore-7.3.0	2387	2018b						
Leptonica/1.78.0-GCCcore-6.4.0	25	2018a			Y			
LibTIFF/4.0.6-foss-2016b	25	2016b		Y				
LibTIFF/4.0.9-GCCcore-6.4.0	56279	2018a		Y?				who is using this?
LibTIFF/4.0.9-GCCcore-7.3.0	954	2018b						
LibTIFF/4.0.9-fosscuda-2018b	0	2018b	Y	Y				
LibUUID/1.0.3-GCCcore-6.4.0	415	2018a						
Libint/1.1.6-foss-2018b	339	2018b						
LittleCMS/2.9-GCCcore-6.4.0	712	2018a						
LittleCMS/2.9-GCCcore-7.3.0	947	2018b						
Lua/5.3.4-GCCcore-6.4.0	49	2018a						
M4/1.4.16	0	system	Y				hide	
M4/1.4.17	0	system	Y				hide	
M4/1.4.17-GCC-5.4.0-2.26	0	2016b	Y				hide	
M4/1.4.17-GCCcore-5.4.0	0	2016b	Y				hide	
M4/1.4.17-foss-2016b	0	2016b	Y	Y				
M4/1.4.18	1	system	Y				hide	
M4/1.4.18-GCCcore-10.2.0	1	system	Y					
M4/1.4.18-GCCcore-5.4.0	50	2016b					hide	
M4/1.4.18-GCCcore-6.4.0	34	2018a		Y				
M4/1.4.18-GCCcore-7.3.0	343	2018b						
MAFFT/7.429-foss-2018b-with-extensions	35	2018b						
MAFFT/7.471-foss-2018b-with-extensions	1	2018b	Y	Y				
MATLAB/2016b	32768	2016b						
