	sum 	other
numactl/2.0.11-GCCcore-6.4.0	29123	
numactl/2.0.11-GCCcore-7.3.0	0	
parallel/20180822-foss-2018b	0	
pixman/0.34.0-GCCcore-6.4.0	1802	
pixman/0.34.0-GCCcore-7.3.0	0	
pkg-config/0.29.2-GCCcore-6.4.0	1	
pkg-config/0.29.2-GCCcore-7.3.0	0	
protobuf-python/3.6.0-foss-2018a-Python-2.7.14	0	
protobuf/3.6.0-GCCcore-6.4.0	0	
scikit-image/0.13.1-foss-2018a-Python-2.7.14	1	
snappy/1.1.7-GCCcore-6.4.0	0	
util-linux/2.31.1-GCCcore-6.4.0	1864	
util-linux/2.32-GCCcore-7.3.0	0	
x264/20180128-GCCcore-6.4.0	133	
x265/2.6-GCCcore-6.4.0	133	
xget/0.10	1	
xorg-macros/1.19.2-GCCcore-7.3.0	0	
zlib/1.2.11	1529	
zlib/1.2.11-GCCcore-6.4.0	4702	
zlib/1.2.11-GCCcore-7.3.0	0	
zlib/1.2.8	0	
zlib/1.2.8-GCCcore-5.4.0	0	
